iso,year,target,reached,reached_pct,intervention,region,country,campaigntype,extent,agemin,agemax,reachedtot,targettot,reachedpct_recalc,pop_u15,agespan,popdenom_forcoverage,coverage
MMR,2003,2502969,2248422,90,Meas,SEARO,Myanmar,FollowUp,Rollover,0.75,5,2248422,2502969,89,13696185,4.25,3880586,57.9
NAM,2003,340000,318240,94,Meas,AFRO,Namibia,FollowUp,National,0.75,4.92,318240,340000,93,770965,4.17,214328.3,94
PAN,2003,272336,268267,98,MR,AMRO,Panama,FollowUp,National,1,4,268267,272336,98,965300,3,193060,98
PNG,2003,117626,126666,99,Meas,WPRO,Papua New Guinea,CatchUp,Rollover,0.5,10,126666,117626,107,2388159,9.5,1512501,8.4
PRY,2003,591351,551912,93.3,MR,AMRO,Paraguay,FollowUp,National,1,4,551912,591351,93,2088837,3,417767.4,93.3
RWA,2003,3055264,3082583,99,Meas,AFRO,Rwanda,CatchUp,National,0.75,14,3082583,3055264,100,3785910,13.25,3344221,92.2
SDN,2003,1591216,1495743,94,Meas,EMRO,Sudan,CatchUp,Rollover,0.5,14,1495743,1591216,93,15366208,13.5,1.38E+07,10.8
SEN,2003,4953140,4854077,98,Meas,AFRO,Senegal,CatchUp,National,0.75,14,4854077,4953140,97,4802565,13.25,4242266,98
SLE,2003,2599098,2404882,92.5,Meas,AFRO,Sierra Leone,CatchUp,National,0.75,14,2404882,2599098,92,2004992,13.25,1771076,92.5
TLS,2003,128318,127453,99,Meas,SEARO,Timor-Leste,CatchUp,Rollover,0.75,4.92,127453,128318,99,434775,4.17,120867.5,99
TUR,2003,9887497,9569920,97,Meas,EURO,Turkey,CatchUp,National,6,14,9569920,9887497,96,20314900,8,1.08E+07,88.3
UGA,2003,12861020,13457127,99,Meas,AFRO,Uganda,CatchUp,National,0.5,14,1.35E+07,1.29E+07,104,13296063,13.5,1.20E+07,99
URY,2003,206000,193640,94,MMR,AMRO,Uruguay,FollowUp,National,1,4,193640,206000,94,803148,3,160629.6,94
VNM,2003,8532987,8641123,99,Meas,WPRO,Viet Nam,CatchUp,Rollover,0.75,10,8641123,8532987,101,25349126,9.25,1.56E+07,55.3
WSM,2003,53965,47448,88,MR,WPRO,Samoa,CatchUp,National,1,18,47448,53965,87,73481,15,73481,64.6
ZMB,2003,4600916,4955647,99,Meas,AFRO,Zambia,CatchUp,Rollover,0.5,15,4955647,4600916,107,5130431,14.5,4959417,99
BFA,2004,2816666,2858536,99,Meas,AFRO,Burkina Faso,FollowUp,National,0.75,4.92,2858536,2816666,101,6098790,4.17,1695464,99
BRA,2004,13769001,12777709,93,MR,AMRO,Brazil,FollowUp,National,1,4,1.28E+07,1.38E+07,92,51354311,3,1.03E+07,93
